,close
1207,5229.6642
1206,5081.1172
1205,5085.7924
1204,5083.1043
1203,5140.4899
1202,5088.2566
1201,5069.4361
1200,5132.7088
1199,5142.0991
1198,5083.0849
1197,5151.4626
1196,5094.7727
1195,5113.4945
1194,5108.9941
1193,5144.0428
1192,5151.7517
1191,5089.2282
1190,4925.299
1189,4751.313
1188,4760.4826
1187,4850.2746
1186,4811.1695
1185,4933.736
1184,4934.4583
1183,4978.8479
1182,4948.6703
1181,4921.5647
1180,4985.5627
1179,5043.148
1178,5015.3406
1177,4973.3509
1176,4945.9829
1175,4941.0676
1174,4837.4034
1173,4894.2384
1172,4862.1394
1171,4769.2678
1170,4835.8782
1169,4888.3902
1168,4898.1572
1167,4801.6094
1166,4827.0433
1165,4813.2703
1164,4805.6099
1163,4869.4587
1162,4869.4113
1161,4843.0624
1160,4933.7262
1159,4992.8294
1158,4972.1324
1157,4970.0133
1156,5013.5219
1155,4991.6598
1154,4917.1617
1153,4867.3187
1152,4807.6978
1151,4855.9402
1150,4821.7675
1149,4853.1957
1148,4849.4277
1147,4877.3698
1146,4883.828
1145,4833.9281
1144,4866.3826
1143,4929.9409
1142,4936.1918
1141,4883.8369
1140,4940.1089
1139,4913.6123
1138,4932.1084
1137,4874.7753
1136,4922.7232
1135,4910.1846
1134,4928.0156
1133,4959.7254
1132,4979.5235
1131,4963.0984
1130,4898.1644
1129,4864.138
1128,4908.7701
1127,4890.6851
1126,4839.8457
1125,4821.1119
1124,4868.7419
1123,4842.3458
1122,4848.1795
1121,4846.7444
1120,4821.1925
1119,4898.6529
1118,4888.3749
1117,4882.3777
1116,4883.3206
1115,4885.7544
1114,4837.6185
1113,4890.0575
1112,4912.399
1111,4913.3457
1110,4916.6579
1109,4896.4416
1108,4860.1265
1107,4851.423
1106,4832.026
1105,4843.851
1104,4856.163
1103,4901.0175
1102,4892.6209
1101,4922.1015
1100,4995.9298
1099,5078.6901
1098,5055.1172
1097,5083.8007
1096,5049.6953
1095,5005.8991
1094,5034.7321
1093,4954.7599
1092,4880.4178
1091,4913.4853
1090,4914.4544
1089,4948.7389
1088,4921.3449
1087,4919.3238
1086,4955.9644
1085,4883.4804
1084,4921.5109
1083,4940.3733
1082,4917.7653
1081,4868.1202
1080,4818.2318
1079,4822.3689
1078,4844.0451
1077,4797.7735
1076,4845.5787
1075,4765.9191
1074,4726.7317
1073,4767.2762
1072,4813.3472
1071,4780.3784
1070,4823.5091
1069,4779.3142
1068,4786.7377
1067,4678.4511
1066,4712.3109
1065,4619.8765
1064,4563.772
1063,4634.0899
1062,4608.7729
1061,4652.0609
1060,4639.8625
1059,4601.3953
1058,4551.6878
1057,4600.1025
1056,4617.9893
1055,4629.1649
1054,4651.2358
1053,4634.3141
1052,4574.1527
1051,4623.0465
1050,4529.3189
1049,4573.4247
1048,4581.6459
1047,4619.6862
1046,4578.6007
1045,4551.6283
1044,4496.4301
1043,4352.7775
1042,4265.391
1041,4226.3463
1040,4292.8374
1039,4306.5217
1038,4174.7577
1037,3983.812
1036,4156.081
1035,4237.6956
1034,4265.9017
1033,4258.7459
1032,4255.295
1031,4276.5174
1030,4251.3061
1029,4174.5742
1028,4148.4663
